# lat,lon,tnum,Layer_1_depth,Layer_2_depth,Layer_3_depth,Layer_4_depth,Layer_5_depth,Layer_6_depth
7.807989394193596411e+01,6.830573971558362700e+01,6.200000000000000000e+01,6.807320000000000846e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807987394326811170e+01,6.830582665716070778e+01,6.300000000000000000e+01,6.807320000000000846e+02,4.393999999999999773e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807985420837398749e+01,6.830591497822605618e+01,6.400000000000000000e+01,6.807320000000000846e+02,4.393999999999999773e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807983481534022019e+01,6.830600506138802075e+01,6.500000000000000000e+01,6.800559999999999263e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807981634230237944e+01,6.830609957987610414e+01,6.600000000000000000e+01,6.800559999999999263e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807979686799185970e+01,6.830618908011274470e+01,6.700000000000000000e+01,6.800559999999999263e+02,4.393999999999999773e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807977679596559994e+01,6.830627561350279109e+01,6.800000000000000000e+01,6.800559999999999263e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807975712541001201e+01,6.830636429049390301e+01,6.900000000000000000e+01,6.793800000000001091e+02,4.400759999999999650e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807973751790015626e+01,6.830645329313428249e+01,7.000000000000000000e+01,6.793800000000001091e+02,4.407519999999999527e+02,2.622880000000000109e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.807971928620105473e+01,6.830654775293213277e+01,7.100000000000000000e+01,6.793800000000001091e+02,4.400759999999999650e+02,2.622880000000000109e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.807970475874491001e+01,6.830665695839473983e+01,7.200000000000000000e+01,6.787039999999999509e+02,4.400759999999999650e+02,2.622880000000000109e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.807968703645963160e+01,6.830675478540949541e+01,7.300000000000000000e+01,6.787039999999999509e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.807966915902447624e+01,6.830685194676333083e+01,7.400000000000000000e+01,6.787039999999999509e+02,4.407519999999999527e+02,2.622880000000000109e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.807964991726638004e+01,6.830694230507609177e+01,7.500000000000000000e+01,6.780280000000001337e+02,4.421039999999999850e+02,2.622880000000000109e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.807962842529757097e+01,6.830702007160016365e+01,7.600000000000000000e+01,6.780280000000001337e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.807960810969321130e+01,6.830710369422230599e+01,7.700000000000000000e+01,6.780280000000001337e+02,4.393999999999999773e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
